solr_admin,core=core1 deleted_docs=102815i,max_docs=7620303i,num_docs=7517488i,size_in_bytes=1784635686i
solr_core,core=core1,handler=searcher deleted_docs=0i,max_docs=117305i,num_docs=117166i
solr_core,core=main,handler=core deleted_docs=0i,max_docs=0i,num_docs=0i
solr_core,core=main,handler=searcher deleted_docs=0i,max_docs=117305i,num_docs=117166i
solr_queryhandler,core=core1,handler=/admin/file 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353227i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=core1,handler=/admin/luke 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353227i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=core1,handler=/admin/mbeans 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0.00785414,avg_time_per_request=0.50742114,errors=0i,handler_start=1516083353227i,median_request_time=0,requests=1078i,timeouts=0i,total_time=547
solr_queryhandler,core=core1,handler=/admin/ping 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353163i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=core1,handler=/admin/plugins 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353227i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=core1,handler=/admin/properties 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353227i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=core1,handler=/admin/system 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353227i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=core1,handler=/admin/threads 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353227i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=core1,handler=/analysis/document 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=0i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=core1,handler=/analysis/field 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=0i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=core1,handler=/browse 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353156i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=core1,handler=/dataimport 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0.017792022,avg_time_per_request=0.7158067,errors=0i,handler_start=1516083353155i,median_request_time=0,requests=2442i,timeouts=0i,total_time=1748
solr_queryhandler,core=core1,handler=/debug/dump 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353163i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=core1,handler=org.apache.solr.handler.BinaryUpdateRequestHandler 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353158i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=core1,handler=org.apache.solr.handler.component.SearchHandler 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353156i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=core1,handler=org.apache.solr.handler.dataimport.DataImportHandler 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0.017792022,avg_time_per_request=0.7158067,errors=0i,handler_start=1516083353155i,median_request_time=0,requests=2442i,timeouts=0i,total_time=1748
solr_queryhandler,core=core1,handler=org.apache.solr.handler.DumpRequestHandler 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353163i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=core1,handler=org.apache.solr.handler.PingRequestHandler 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353163i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=core1,handler=org.apache.solr.handler.XmlUpdateRequestHandler 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353157i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=core1,handler=search 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353156i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=core1,handler=/spell 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=0i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=core1,handler=standard 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0.08364145,avg_time_per_request=27.765942,errors=0i,handler_start=1516083353155i,median_request_time=0,requests=11480i,timeouts=0i,total_time=318753
solr_queryhandler,core=core1,handler=/terms 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=0i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=core1,handler=tvrh 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=0i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=core1,handler=/update 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353157i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=core1,handler=/update/csv 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=0i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=core1,handler=/update/extract 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=0i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=core1,handler=/update/javabin 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353158i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=core1,handler=/update/json 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0.02160195,avg_time_per_request=52.347034,errors=26i,handler_start=1516103486630i,median_request_time=0,requests=2530i,timeouts=0i,total_time=132438
solr_queryhandler,core=main,handler=/admin/file 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353227i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=main,handler=/admin/luke 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353227i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=main,handler=/admin/mbeans 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0.00785414,avg_time_per_request=0.50742114,errors=0i,handler_start=1516083353227i,median_request_time=0,requests=1078i,timeouts=0i,total_time=547
solr_queryhandler,core=main,handler=/admin/ping 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353163i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=main,handler=/admin/plugins 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353227i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=main,handler=/admin/properties 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353227i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=main,handler=/admin/system 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353227i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=main,handler=/admin/threads 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353227i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=main,handler=/analysis/document 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=0i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=main,handler=/analysis/field 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=0i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=main,handler=/browse 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353156i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=main,handler=/dataimport 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0.017792022,avg_time_per_request=0.7158067,errors=0i,handler_start=1516083353155i,median_request_time=0,requests=2442i,timeouts=0i,total_time=1748
solr_queryhandler,core=main,handler=/debug/dump 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353163i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=main,handler=org.apache.solr.handler.BinaryUpdateRequestHandler 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353158i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=main,handler=org.apache.solr.handler.component.SearchHandler 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353156i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=main,handler=org.apache.solr.handler.dataimport.DataImportHandler 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0.017792022,avg_time_per_request=0.7158067,errors=0i,handler_start=1516083353155i,median_request_time=0,requests=2442i,timeouts=0i,total_time=1748
solr_queryhandler,core=main,handler=org.apache.solr.handler.DumpRequestHandler 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353163i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=main,handler=org.apache.solr.handler.PingRequestHandler 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353163i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=main,handler=org.apache.solr.handler.XmlUpdateRequestHandler 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353157i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=main,handler=search 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353156i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=main,handler=/spell 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=0i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=main,handler=standard 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0.08364145,avg_time_per_request=27.765942,errors=0i,handler_start=1516083353155i,median_request_time=0,requests=11480i,timeouts=0i,total_time=318753
solr_queryhandler,core=main,handler=/terms 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=0i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=main,handler=tvrh 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=0i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=main,handler=/update 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353157i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=main,handler=/update/csv 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=0i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=main,handler=/update/extract 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=0i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=main,handler=/update/javabin 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0,avg_time_per_request=0,errors=0i,handler_start=1516083353158i,median_request_time=0,requests=0i,timeouts=0i,total_time=0
solr_queryhandler,core=main,handler=/update/json 15min_rate_reqs_per_second=0,5min_rate_reqs_per_second=0,75th_pc_request_time=0,95th_pc_request_time=0,999th_pc_request_time=0,99th_pc_request_time=0,avg_requests_per_second=0.02160195,avg_time_per_request=52.347034,errors=26i,handler_start=1516103486630i,median_request_time=0,requests=2530i,timeouts=0i,total_time=132438
solr_updatehandler,core=core1,handler=updateHandler adds=0i,autocommit_max_docs=0i,autocommit_max_time=0i,autocommits=0i,commits=3220i,cumulative_adds=354209i,cumulative_deletes_by_id=0i,cumulative_deletes_by_query=3i,cumulative_errors=0i,deletes_by_id=0i,deletes_by_query=0i,docs_pending=0i,errors=0i,expunge_deletes=0i,optimizes=3i,rollbacks=0i,soft_autocommits=0i
solr_updatehandler,core=main,handler=updateHandler adds=0i,autocommit_max_docs=0i,autocommit_max_time=0i,autocommits=0i,commits=3220i,cumulative_adds=354209i,cumulative_deletes_by_id=0i,cumulative_deletes_by_query=3i,cumulative_errors=0i,deletes_by_id=0i,deletes_by_query=0i,docs_pending=0i,errors=0i,expunge_deletes=0i,optimizes=3i,rollbacks=0i,soft_autocommits=0i
