ElementID,Name,Abstract Data Type,Data Type Semantics,Status,Description,Units,Range,References,Requester,Revision,Date
10,ingressInterface,unsigned32,identifier,current,"The index of the IP interface where packets of this Flow
are being received.  The value matches the value of managed
object 'ifIndex' as defined in [RFC2863].
Note that ifIndex values are not assigned statically to an
interface and that the interfaces may be renumbered every
time the device's management system is re-initialized, as
specified in [RFC2863].",,,"See [RFC2863] for the definition of the
ifIndex object.",[RFC5102],0,2013-02-18
11,destinationTransportPort,unsigned16,identifier,current,"The destination port identifier in the transport header.
For the transport protocols UDP, TCP, and SCTP, this is the
destination port number given in the respective header.
This field MAY also be used for future transport protocols
that have 16-bit destination port identifiers.",,,"See [RFC768] for the definition of the UDP
destination port field.
See [RFC793] for the definition of the TCP
destination port field.
See [RFC4960] for the definition of SCTP.

            
            
              
Additional information on defined UDP and TCP port numbers can be
found at [IANA registry service-names-port-numbers].",[RFC5102],0,2013-02-18
12,destinationIPv4Address,ipv4Address,default,current,The IPv4 destination address in the IP packet header.,,,"See [RFC791] for the definition of the IPv4
destination address field.",[RFC5102],1,2014-02-03
13,destinationIPv4PrefixLength,unsigned8,,current,"The number of contiguous bits that are relevant in the
destinationIPv4Prefix Information Element.",bits,0-32,,[RFC5102],0,2013-02-18
14,egressInterface,unsigned32,identifier,current,"The index of the IP interface where packets of
this Flow are being sent.  The value matches the value of
managed object 'ifIndex' as defined in [RFC2863].
Note that ifIndex values are not assigned statically to an
interface and that the interfaces may be renumbered every
time the device's management system is re-initialized, as
specified in [RFC2863].",,,"See [RFC2863] for the definition of the
ifIndex object.",[RFC5102],0,2013-02-18
15,ipNextHopIPv4Address,ipv4Address,default,current,The IPv4 address of the next IPv4 hop.,,,,[RFC5102],1,2014-02-03
16,bgpSourceAsNumber,unsigned32,identifier,current,"The autonomous system (AS) number of the source IP address.
If AS path information for this Flow is only available as
an unordered AS set (and not as an ordered AS sequence),
then the value of this Information Element is 0.",,,"See [RFC4271] for a description of BGP-4, and
see [RFC1930] for the definition of the AS
number.",[RFC5102],0,2013-02-18
17,bgpDestinationAsNumber,unsigned32,identifier,current,"The autonomous system (AS) number of the destination IP
address.  If AS path information for this Flow is only
available as an unordered AS set (and not as an ordered AS
sequence), then the value of this Information Element is 0.",,,"See [RFC4271] for a description of BGP-4, and
see [RFC1930] for the definition of the AS
number.",[RFC5102],0,2013-02-18
18,bgpNextHopIPv4Address,ipv4Address,default,current,The IPv4 address of the next (adjacent) BGP hop.,,,See [RFC4271] for a description of BGP-4.,[RFC5102],1,2014-02-03
19,postMCastPacketDeltaCount,unsigned64,deltaCounter,current,"The number of outgoing multicast packets since the
previous report (if any) sent for packets of this Flow
by a multicast daemon within the Observation Domain.
This property cannot necessarily be observed at the
Observation Point, but may be retrieved by other means.",packets,,,[RFC5102],0,2013-02-18
20,postMCastOctetDeltaCount,unsigned64,deltaCounter,current,"The number of octets since the previous report (if any)
in outgoing multicast packets sent for packets of this
Flow by a multicast daemon within the Observation Domain.
This property cannot necessarily be observed at the
Observation Point, but may be retrieved by other means.
The number of octets includes IP header(s) and IP payload.",octets,,,[RFC5102],0,2013-02-18
21,flowEndSysUpTime,unsigned32,,current,"The relative timestamp of the last packet of this Flow. It indicates the
number of milliseconds since the last (re-)initialization of the IPFIX
Device (sysUpTime). sysUpTime can be calculated from
systemInitTimeMilliseconds.",milliseconds,,,[RFC5102],1,2014-01-11
22,flowStartSysUpTime,unsigned32,,current,"The relative timestamp of the first packet of this Flow. It indicates
the number of milliseconds since the last (re-)initialization of the
IPFIX Device (sysUpTime). sysUpTime can be calculated from
systemInitTimeMilliseconds.",milliseconds,,,[RFC5102],1,2014-01-11
23,postOctetDeltaCount,unsigned64,deltaCounter,current,"The definition of this Information Element is identical
to the definition of Information Element
'octetDeltaCount', except that it reports a
potentially modified value caused by a middlebox
function after the packet passed the Observation Point.",octets,,,[RFC5102],0,2013-02-18
24,postPacketDeltaCount,unsigned64,deltaCounter,current,"The definition of this Information Element is identical
to the definition of Information Element
'packetDeltaCount', except that it reports a
potentially modified value caused by a middlebox
function after the packet passed the Observation Point.",packets,,,[RFC5102],0,2013-02-18
25,minimumIpTotalLength,unsigned64,,current,"Length of the smallest packet observed for this Flow.
The packet length includes the IP header(s) length and
the IP payload length.",octets,,"See [RFC791] for the specification of the IPv4
total length.
See [RFC8200] for the specification of the
IPv6 payload length.
See [RFC2675] for the specification of the
IPv6 jumbo payload length.",[RFC5102],0,2013-02-18
26,maximumIpTotalLength,unsigned64,,current,"Length of the largest packet observed for this Flow.
The packet length includes the IP header(s) length and
the IP payload length.",octets,,"See [RFC791] for the specification of the IPv4
total length.
See [RFC8200] for the specification of the
IPv6 payload length.
See [RFC2675] for the specification of the
IPv6 jumbo payload length.",[RFC5102],0,2013-02-18
27,sourceIPv6Address,ipv6Address,default,current,The IPv6 source address in the IP packet header.,,,"See [RFC8200] for the definition of the Source
Address field in the IPv6 header.",[RFC5102],1,2014-02-03
28,destinationIPv6Address,ipv6Address,default,current,The IPv6 destination address in the IP packet header.,,,"See [RFC8200] for the definition of the
Destination Address field in the IPv6 header.",[RFC5102],1,2014-02-03
29,sourceIPv6PrefixLength,unsigned8,,current,"The number of contiguous bits that are relevant in the
sourceIPv6Prefix Information Element.",bits,0-128,,[RFC5102],0,2013-02-18
30,destinationIPv6PrefixLength,unsigned8,,current,"The number of contiguous bits that are relevant in the
destinationIPv6Prefix Information Element.",bits,0-128,,[RFC5102],0,2013-02-18
31,flowLabelIPv6,unsigned32,identifier,current,The value of the IPv6 Flow Label field in the IP packet header.,,0-0xFFFFF,"See [RFC8200] for the definition of the
Flow Label field in the IPv6 packet header.",[RFC5102],1,2014-08-13
32,icmpTypeCodeIPv4,unsigned16,identifier,current,"Type and Code of the IPv4 ICMP message.  The combination of
both values is reported as (ICMP type * 256) + ICMP code.",,,"See [RFC792] for the definition of the IPv4
ICMP type and code fields.",[RFC5102],0,2013-02-18
33,igmpType,unsigned8,identifier,current,The type field of the IGMP message.,,,"See [RFC3376] for the definition of the IGMP
type field.",[RFC5102],0,2013-02-18
34,samplingInterval,unsigned32,quantity,deprecated,"Deprecated in favor of 305 samplingPacketInterval.  When using
sampled NetFlow, the rate at which packets are sampled -- e.g., a
value of 100 indicates that one of every 100 packets is sampled.",packets,,,[RFC7270],0,2014-04-04
35,samplingAlgorithm,unsigned8,identifier,deprecated,"Deprecated in favor of 304 selectorAlgorithm.  The type of
algorithm used for sampled NetFlow:

            
            

1 - Deterministic Sampling,
2 - Random Sampling.


            
              
The values are not compatible with the selectorAlgorithm IE, where
""Deterministic"" has been replaced by ""Systematic count-based"" (1)
or ""Systematic time-based"" (2), and ""Random"" is (3).  Conversion
is required; see [Packet Sampling (PSAMP) Parameters.]",,,,[RFC7270],0,2014-04-04
36,flowActiveTimeout,unsigned16,,current,"The number of seconds after which an active Flow is timed out
anyway, even if there is still a continuous flow of packets.",seconds,,,[RFC5102],0,2013-02-18
37,flowIdleTimeout,unsigned16,,current,"A Flow is considered to be timed out if no packets belonging
to the Flow have been observed for the number of seconds
specified by this field.",seconds,,,[RFC5102],0,2013-02-18
38,engineType,unsigned8,identifier,deprecated,"Type of flow switching engine in a router/switch:

            
            
RP = 0,
VIP/Line card = 1,
PFC/DFC = 2.

            
              
Reserved for internal use on the Collector.",,,,[RFC7270],0,2014-04-04
39,engineId,unsigned8,identifier,deprecated,"Versatile Interface Processor (VIP) or line card slot number of the flow switching engine in a
router/switch.  Reserved for internal use on the Collector.",,,,[RFC7270],0,2014-04-04
40,exportedOctetTotalCount,unsigned64,totalCounter,current,"The total number of octets that the Exporting Process
has sent since the Exporting Process (re-)initialization
to a particular Collecting Process.
The value of this Information Element is calculated by
summing up the IPFIX Message Header length values of all
IPFIX Messages that were successfully sent to the Collecting
Process.  The reported number excludes octets in the IPFIX
Message that carries the counter value.
If this Information Element is sent to a particular
Collecting Process, then by default it specifies the number
of octets sent to this Collecting Process.",octets,,,[RFC5102],0,2013-02-18
41,exportedMessageTotalCount,unsigned64,totalCounter,current,"The total number of IPFIX Messages that the Exporting Process
has sent since the Exporting Process (re-)initialization to
a particular Collecting Process.
The reported number excludes the IPFIX Message that carries
the counter value.
If this Information Element is sent to a particular
Collecting Process, then by default it specifies the number
of IPFIX Messages sent to this Collecting Process.",messages,,,[RFC5102],0,2013-02-18
42,exportedFlowRecordTotalCount,unsigned64,totalCounter,current,"The total number of Flow Records that the Exporting
Process has sent as Data Records since the Exporting
Process (re-)initialization to a particular Collecting
Process.  The reported number excludes Flow Records in
the IPFIX Message that carries the counter value.
If this Information Element is sent to a particular
Collecting Process, then by default it specifies the number
of Flow Records sent to this process.",flows,,,[RFC5102],0,2013-02-18
43,ipv4RouterSc,ipv4Address,default,deprecated,"This is a platform-specific field for the Catalyst 5000/Catalyst 6000
family.  It is used to store the address of a router that is being
shortcut when performing MultiLayer Switching.",,,[CCO-MLS] describes MultiLayer Switching.,[RFC7270],0,2014-04-04
44,sourceIPv4Prefix,ipv4Address,default,current,IPv4 source address prefix.,,,,[RFC5102],0,2013-02-18
45,destinationIPv4Prefix,ipv4Address,default,current,IPv4 destination address prefix.,,,,[RFC5102],0,2013-02-18
46,mplsTopLabelType,unsigned8,identifier,current,"This field identifies the control protocol that allocated the
top-of-stack label.  Values for this field are listed in the 
MPLS label type registry. See 
[http://www.iana.org/assignments/ipfix/ipfix.xhtml#ipfix-mpls-label-type]",,,"See [RFC3031] for the MPLS label structure.
See [RFC4364] for the association of MPLS
labels with Virtual Private Networks (VPNs).
See [RFC4271] for BGP and BGP routing.
See [RFC5036] for Label Distribution Protocol
(LDP).
See the list of MPLS label types assigned by IANA at [IANA registry mpls-label-values].",[RFC5102],0,2013-02-18
47,mplsTopLabelIPv4Address,ipv4Address,default,current,"The IPv4 address of the system that the MPLS top label will
cause this Flow to be forwarded to.",,,"See [RFC3031] for the association between MPLS
labels and IP addresses.",[RFC5102],1,2014-02-03
48,samplerId,unsigned8,identifier,deprecated,"Deprecated in favor of 302 selectorId.  The unique identifier
associated with samplerName.",,,,[RFC7270],0,2014-04-04
49,samplerMode,unsigned8,identifier,deprecated,"Deprecated in favor of 304 selectorAlgorithm.  The values are not
compatible: selectorAlgorithm=3 is random sampling.  The type of
algorithm used for sampling data: 1 - Deterministic, 2 - Random
Sampling.  Use with samplerRandomInterval.",,,,[RFC7270],0,2014-04-04
50,samplerRandomInterval,unsigned32,quantity,deprecated,"Deprecated in favor of 305 samplingPacketInterval.  Packet
interval at which to sample -- in case of random sampling.  Used in
connection with the samplerMode 0x02 (random sampling) value.",,,,[RFC7270],0,2014-04-04
51,classId,unsigned8,identifier,deprecated,"Deprecated in favor of 302 selectorId.  Characterizes the traffic
class, i.e., QoS treatment.",,,,[RFC7270],0,2014-04-04
52,minimumTTL,unsigned8,,current,Minimum TTL value observed for any packet in this Flow.,hops,,"See [RFC791] for the definition of the IPv4
Time to Live field.
See [RFC8200] for the definition of the IPv6
Hop Limit field.",[RFC5102],0,2013-02-18
53,maximumTTL,unsigned8,,current,Maximum TTL value observed for any packet in this Flow.,hops,,"See [RFC791] for the definition of the IPv4
Time to Live field.
See [RFC8200] for the definition of the IPv6
Hop Limit field.",[RFC5102],0,2013-02-18
54,fragmentIdentification,unsigned32,identifier,current,"The value of the Identification field
in the IPv4 packet header or in the IPv6 Fragment header,
respectively.  The value is 0 for IPv6 if there is
no fragment header.",,,"See [RFC791] for the definition of the IPv4
Identification field.
See [RFC8200] for the definition of the
Identification field in the IPv6 Fragment header.",[RFC5102],0,2013-02-18
55,postIpClassOfService,unsigned8,identifier,current,"The definition of this Information Element is identical
to the definition of Information Element
'ipClassOfService', except that it reports a
potentially modified value caused by a middlebox
function after the packet passed the Observation Point.",,,"See [RFC791] for the definition of the IPv4
TOS field.
See [RFC8200] for the definition of the IPv6
Traffic Class field.
See [RFC3234] for the definition of
middleboxes.",[RFC5102],0,2013-02-18
56,sourceMacAddress,macAddress,default,current,The IEEE 802 source MAC address field.,,,See IEEE.802-3.2002.,[RFC5102],1,2014-02-03
57,postDestinationMacAddress,macAddress,default,current,"The definition of this Information Element is identical
to the definition of Information Element
'destinationMacAddress', except that it reports a
potentially modified value caused by a middlebox
function after the packet passed the Observation Point.",,,See IEEE.802-3.2002.,[RFC5102],1,2014-02-03
58,vlanId,unsigned16,identifier,current,"Virtual LAN identifier associated with ingress interface. For dot1q vlans, see 243
dot1qVlanId.",,,See IEEE.802-1Q.2003.,[RFC5102],0,2013-02-18
59,postVlanId,unsigned16,identifier,current,"Virtual LAN identifier associated with egress interface. For postdot1q vlans, see 254, postDot1qVlanId.",,,See IEEE.802-1Q.2003.,[RFC5102],0,2013-02-18
60,ipVersion,unsigned8,identifier,current,The IP version field in the IP packet header.,,,"See [RFC791] for the definition of the version
field in the IPv4 packet header.
See [RFC8200] for the definition of the
version field in the IPv6 packet header.
Additional information on defined version numbers can be found at
[IANA registry version-numbers].",[RFC5102],0,2013-02-18
61,flowDirection,unsigned8,identifier,current,"The direction of the Flow observed at the Observation
Point.  There are only two values defined.

            
            
0x00: ingress flow
0x01: egress flow",,,,[RFC5102],0,2013-02-18
62,ipNextHopIPv6Address,ipv6Address,default,current,The IPv6 address of the next IPv6 hop.,,,,[RFC5102],1,2014-02-03
63,bgpNextHopIPv6Address,ipv6Address,default,current,The IPv6 address of the next (adjacent) BGP hop.,,,See [RFC4271] for a description of BGP-4.,[RFC5102],1,2014-02-03
64,ipv6ExtensionHeaders,unsigned32,flags,current,"IPv6 extension headers observed in packets of this Flow.
The information is encoded in a set of bit fields.  For
each IPv6 option header, there is a bit in this set.
The bit is set to 1 if any observed packet of this Flow
contains the corresponding IPv6 extension header.
Otherwise, if no observed packet of this Flow contained
the respective IPv6 extension header, the value of the
corresponding bit is 0.

            
            
        0     1     2     3     4     5     6     7
    +-----+-----+-----+-----+-----+-----+-----+-----+
    | DST | HOP | Res | UNK |FRA0 | RH  |FRA1 | Res |  ...
    +-----+-----+-----+-----+-----+-----+-----+-----+

        8     9    10    11    12    13    14    15
    +-----+-----+-----+-----+-----+-----+-----+-----+
... |           Reserved    | MOB | ESP | AH  | PAY | ...
    +-----+-----+-----+-----+-----+-----+-----+-----+

       16    17    18    19    20    21    22    23
    +-----+-----+-----+-----+-----+-----+-----+-----+
... |                  Reserved                     | ...
    +-----+-----+-----+-----+-----+-----+-----+-----+

       24    25    26    27    28    29    30    31
    +-----+-----+-----+-----+-----+-----+-----+-----+
... |                  Reserved                     |
    +-----+-----+-----+-----+-----+-----+-----+-----+

Bit    IPv6 Option   Description

0, DST      60       Destination option header
1, HOP       0       Hop-by-hop option header
2, Res               Reserved
3, UNK               Unknown Layer 4 header
                     (compressed, encrypted, not supported)
4, FRA0     44       Fragment header - first fragment
5, RH       43       Routing header
6, FRA1     44       Fragmentation header - not first fragment
7, Res               Reserved
8 to 11              Reserved
12, MOB     135      IPv6 mobility [RFC3775]
13, ESP      50      Encrypted security payload
14, AH       51      Authentication Header
15, PAY     108      Payload compression header
16 to 31             Reserved",,,"See [RFC8200] for the general definition of
IPv6 extension headers and for the specification of the hop-by-hop
options header, the routing header, the fragment header, and the
destination options header.
See [RFC4302] for the specification of the
authentication header.
See [RFC4303] for the specification of the
encapsulating security payload.

The diagram provided in [RFC5102] is incorrect.  
The diagram in this registry is taken from Errata 1738. See [RFC Errata 
          1738]",[RFC5102],0,2013-02-18
65-69,Assigned for NetFlow v9 compatibility,,,,,,,[RFC3954],[RFC5102],0,2013-02-18
70,mplsTopLabelStackSection,octetArray,default,current,"The Label, Exp, and S fields from the top MPLS label
stack entry, i.e., from the last label that was pushed.

            
            
              
The size of this Information Element is 3 octets.

            
            
 0                   1                   2
 0 1 2 3 4 5 6 7 8 9 0 1 2 3 4 5 6 7 8 9 0 1 2 3
+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+
|                Label                  | Exp |S|
+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+

Label:  Label Value, 20 bits
Exp:    Experimental Use, 3 bits
S:      Bottom of Stack, 1 bit",,,See [RFC3032].,[RFC5102],1,2014-02-03
71,mplsLabelStackSection2,octetArray,default,current,"The Label, Exp, and S fields from the label stack entry that
was pushed immediately before the label stack entry that would
be reported by mplsTopLabelStackSection.  See the definition of
mplsTopLabelStackSection for further details.

            
            
              
The size of this Information Element is 3 octets.",,,See [RFC3032].,[RFC5102],1,2014-02-03
72,mplsLabelStackSection3,octetArray,default,current,"The Label, Exp, and S fields from the label stack entry that
was pushed immediately before the label stack entry that would
be reported by mplsLabelStackSection2.  See the definition of
mplsTopLabelStackSection for further details.

            
            
              
The size of this Information Element is 3 octets.",,,See [RFC3032].,[RFC5102],1,2014-02-03
73,mplsLabelStackSection4,octetArray,default,current,"The Label, Exp, and S fields from the label stack entry that
was pushed immediately before the label stack entry that would
be reported by mplsLabelStackSection3.  See the definition of
mplsTopLabelStackSection for further details.

            
            
              
The size of this Information Element is 3 octets.",,,See [RFC3032].,[RFC5102],1,2014-02-03
74,mplsLabelStackSection5,octetArray,default,current,"The Label, Exp, and S fields from the label stack entry that
was pushed immediately before the label stack entry that would
be reported by mplsLabelStackSection4.  See the definition of
mplsTopLabelStackSection for further details.

            
            
              
The size of this Information Element is 3 octets.",,,See [RFC3032].,[RFC5102],1,2014-02-03
75,mplsLabelStackSection6,octetArray,default,current,"The Label, Exp, and S fields from the label stack entry that
was pushed immediately before the label stack entry that would
be reported by mplsLabelStackSection5.  See the definition of
mplsTopLabelStackSection for further details.

            
            
              
The size of this Information Element is 3 octets.",,,See [RFC3032].,[RFC5102],1,2014-02-03
76,mplsLabelStackSection7,octetArray,default,current,"The Label, Exp, and S fields from the label stack entry that
was pushed immediately before the label stack entry that would
be reported by mplsLabelStackSection6.  See the definition of
mplsTopLabelStackSection for further details.

            
            
              
The size of this Information Element is 3 octets.",,,See [RFC3032].,[RFC5102],1,2014-02-03
77,mplsLabelStackSection8,octetArray,default,current,"The Label, Exp, and S fields from the label stack entry that
was pushed immediately before the label stack entry that would
be reported by mplsLabelStackSection7.  See the definition of
mplsTopLabelStackSection for further details.

            
            
              
The size of this Information Element is 3 octets.",,,See [RFC3032].,[RFC5102],1,2014-02-03
78,mplsLabelStackSection9,octetArray,default,current,"The Label, Exp, and S fields from the label stack entry that
was pushed immediately before the label stack entry that would
be reported by mplsLabelStackSection8.  See the definition of
mplsTopLabelStackSection for further details.

            
            
              
The size of this Information Element is 3 octets.",,,See [RFC3032].,[RFC5102],1,2014-02-03
79,mplsLabelStackSection10,octetArray,default,current,"The Label, Exp, and S fields from the label stack entry that
was pushed immediately before the label stack entry that would
be reported by mplsLabelStackSection9.  See the definition of
mplsTopLabelStackSection for further details.

            
            
              
The size of this Information Element is 3 octets.",,,See [RFC3032].,[RFC5102],1,2014-02-03
80,destinationMacAddress,macAddress,default,current,The IEEE 802 destination MAC address field.,,,See IEEE.802-3.2002.,[RFC5102],1,2014-02-03
81,postSourceMacAddress,macAddress,default,current,"The definition of this Information Element is identical
to the definition of Information Element
'sourceMacAddress', except that it reports a
potentially modified value caused by a middlebox
function after the packet passed the Observation Point.",,,See IEEE.802-3.2002.,[RFC5102],1,2014-02-03
82,interfaceName,string,default,current,"A short name uniquely describing an interface, eg ""Eth1/0"".",,,See [RFC2863] for the definition of the ifName object.,[ipfix-iana_at_cisco.com],0,2013-02-18
83,interfaceDescription,string,default,current,"The description of an interface, eg ""FastEthernet 1/0"" or ""ISP 
connection"".",,,See [RFC2863] for the definition of the ifDescr object.,[ipfix-iana_at_cisco.com],0,2013-02-18
84,samplerName,string,,deprecated,"Deprecated in favor of 335 selectorName.  Name of the flow 
sampler.",,,,[RFC7270],0,2014-04-04
85,octetTotalCount,unsigned64,totalCounter,current,"The total number of octets in incoming packets
for this Flow at the Observation Point since the Metering
Process (re-)initialization for this Observation Point.  The
number of octets includes IP header(s) and IP payload.",octets,,,[RFC5102],0,2013-02-18
86,packetTotalCount,unsigned64,totalCounter,current,"The total number of incoming packets for this Flow
at the Observation Point since the Metering Process
(re-)initialization for this Observation Point.",packets,,,[RFC5102],0,2013-02-18
87,flagsAndSamplerId,unsigned32,identifier,deprecated,"Flow flags and the value of the sampler ID (samplerId) combined in
one bitmapped field.  Reserved for internal use on the Collector.",,,,[RFC7270],0,2014-04-04
88,fragmentOffset,unsigned16,quantity,current,"The value of the IP fragment offset field in the
IPv4 packet header or the IPv6 Fragment header,
respectively.  The value is 0 for IPv6 if there is
no fragment header.",,0-0x1FFF,"See [RFC791] for the specification of the
fragment offset in the IPv4 header.
See [RFC8200] for the specification of the
fragment offset in the IPv6 Fragment header.",[RFC5102],1,2014-08-13
89,forwardingStatus,unsigned8,identifier,current,"This Information Element describes the forwarding status of the
flow and any attached reasons.

            
            
              
The layout of the encoding is as follows:

            
            
MSB  -  0   1   2   3   4   5   6   7  -  LSB
      +---+---+---+---+---+---+---+---+
      | Status|  Reason code or flags |
      +---+---+---+---+---+---+---+---+

            
              
See the Forwarding Status sub-registries at [http://www.iana.org/assignments/ipfix/ipfix.xhtml#forwarding-status].

            
            
Examples:

value : 0x40 = 64
binary: 01000000
decode: 01        -> Forward
          000000  -> No further information

value : 0x89 = 137
binary: 10001001
decode: 10        -> Drop
          001001  -> Bad TTL",,,"See ""NetFlow Version 9 Flow-Record Format"" [CCO-NF9FMT].","[RFC7270][RFC Errata 
          5262]",2,2018-02-21
90,mplsVpnRouteDistinguisher,octetArray,default,current,"The value of the VPN route distinguisher of a corresponding
entry in a VPN routing and forwarding table.  Route
distinguisher ensures that the same address can be used in
several different MPLS VPNs and that it is possible for BGP to
carry several completely different routes to that address, one
for each VPN.  According to [RFC4364], the size of
mplsVpnRouteDistinguisher is 8 octets.  However, in [RFC4382] an
octet string with flexible length was chosen for representing a
VPN route distinguisher by object MplsL3VpnRouteDistinguisher.
This choice was made in order to be open to future changes of
the size.  This idea was adopted when choosing octetArray as
abstract data type for this Information Element.  The maximum
length of this Information Element is 256 octets.",,,"See [RFC4364] for the specification of the
route distinguisher.  See [RFC4382] for the
specification of the MPLS/BGP Layer 3 Virtual Private Network (VPN)
Management Information Base.",[RFC5102],1,2014-02-03
91,mplsTopLabelPrefixLength,unsigned8,quantity,current,"The prefix length of the subnet of the mplsTopLabelIPv4Address that
the MPLS top label will cause the Flow to be forwarded to.",bits,0-32,"See [RFC3031] for the association between 
MPLS labels and prefix lengths.",[ipfix-iana_at_cisco.com],1,2014-08-13
92,srcTrafficIndex,unsigned32,identifier,current,BGP Policy Accounting Source Traffic Index.,,,BGP policy accounting as described in [CCO-BGPPOL].,[RFC7270],0,2014-04-04
